Date,Symbol,Series,Open,High,Low,Close
2016-03-23,BHARTIARTL,EQ,352.0,361.4,352.0,358.2
2016-03-28,BHARTIARTL,EQ,358.9,361.0,346.85,349.8
2016-03-29,BHARTIARTL,EQ,347.0,357.75,346.05,354.5
2016-03-30,BHARTIARTL,EQ,355.0,359.25,351.1,353.8
2016-03-31,BHARTIARTL,EQ,353.5,356.65,346.55,350.8
2016-04-01,BHARTIARTL,EQ,350.2,350.2,332.2,335.45
2016-04-04,BHARTIARTL,EQ,335.55,350.9,335.55,348.5
2016-04-05,BHARTIARTL,EQ,346.5,346.5,329.05,330.5
2016-04-06,BHARTIARTL,EQ,333.45,339.55,331.55,334.5
2016-04-07,BHARTIARTL,EQ,336.1,336.3,329.25,331.25
2016-04-08,BHARTIARTL,EQ,331.95,337.4,325.6,334.6
2016-04-11,BHARTIARTL,EQ,341.45,350.0,341.0,348.25
2016-04-12,BHARTIARTL,EQ,348.2,352.5,344.15,350.1
2016-04-13,BHARTIARTL,EQ,351.05,364.5,349.6,351.25
2016-04-18,BHARTIARTL,EQ,355.05,363.0,352.2,359.4
2016-04-20,BHARTIARTL,EQ,364.0,364.35,354.1,356.65
2016-04-21,BHARTIARTL,EQ,357.85,359.0,351.0,357.25
2016-04-22,BHARTIARTL,EQ,351.0,357.95,349.75,353.1
2016-04-25,BHARTIARTL,EQ,354.3,364.0,354.3,358.95
2016-04-26,BHARTIARTL,EQ,357.45,363.8,355.4,360.4
2016-04-27,BHARTIARTL,EQ,365.0,381.4,362.15,373.05
2016-04-28,BHARTIARTL,EQ,383.45,385.0,370.5,372.7
2016-04-29,BHARTIARTL,EQ,371.85,372.6,360.5,363.6
2016-05-02,BHARTIARTL,EQ,363.0,364.5,356.4,357.8
2016-05-03,BHARTIARTL,EQ,358.0,370.5,358.0,368.35
2016-05-04,BHARTIARTL,EQ,365.95,369.25,359.3,361.45
2016-05-05,BHARTIARTL,EQ,362.5,366.0,351.65,354.4
2016-05-06,BHARTIARTL,EQ,357.0,364.45,354.4,359.1
2016-05-09,BHARTIARTL,EQ,360.25,367.9,358.2,366.8
2016-05-10,BHARTIARTL,EQ,367.5,369.3,360.35,368.85
2016-05-11,BHARTIARTL,EQ,364.5,377.45,357.0,358.9
2016-05-12,BHARTIARTL,EQ,363.0,363.55,355.7,362.1
2016-05-13,BHARTIARTL,EQ,362.0,362.0,353.0,354.9
2016-05-16,BHARTIARTL,EQ,355.0,356.15,342.85,353.45
2016-05-17,BHARTIARTL,EQ,356.0,359.0,348.6,351.2
2016-05-18,BHARTIARTL,EQ,350.0,352.6,347.25,351.25
2016-05-19,BHARTIARTL,EQ,351.25,352.8,343.4,344.8
2016-05-20,BHARTIARTL,EQ,345.9,346.5,339.3,341.95
2016-05-23,BHARTIARTL,EQ,346.7,348.75,341.5,345.85
2016-05-24,BHARTIARTL,EQ,345.9,346.95,341.8,345.15
2016-05-25,BHARTIARTL,EQ,347.1,352.5,347.0,351.65
2016-05-26,BHARTIARTL,EQ,352.0,356.0,347.75,352.85
2016-05-27,BHARTIARTL,EQ,352.95,357.6,349.55,351.25
2016-05-30,BHARTIARTL,EQ,353.1,357.2,352.25,355.9
2016-05-31,BHARTIARTL,EQ,356.9,357.0,347.15,351.4
2016-06-01,BHARTIARTL,EQ,353.55,364.35,352.3,363.25
2016-06-02,BHARTIARTL,EQ,361.35,368.0,359.8,366.2
2016-06-03,BHARTIARTL,EQ,365.0,365.7,355.35,358.15
2016-06-06,BHARTIARTL,EQ,357.0,359.05,347.2,348.75
2016-06-07,BHARTIARTL,EQ,348.75,352.1,347.3,349.15
2016-06-08,BHARTIARTL,EQ,355.6,358.25,351.6,352.65
2016-06-09,BHARTIARTL,EQ,355.5,356.4,349.8,351.25
2016-06-10,BHARTIARTL,EQ,349.7,353.55,347.6,351.1
2016-06-13,BHARTIARTL,EQ,348.3,350.5,341.55,342.4
2016-06-14,BHARTIARTL,EQ,343.2,344.5,337.35,342.65
2016-06-15,BHARTIARTL,EQ,348.0,352.85,347.0,351.9
2016-06-16,BHARTIARTL,EQ,351.55,351.95,341.25,346.5
2016-06-17,BHARTIARTL,EQ,348.0,358.9,344.45,357.0
2016-06-20,BHARTIARTL,EQ,356.0,366.0,353.8,364.5
2016-06-21,BHARTIARTL,EQ,362.25,364.7,360.15,362.2
2016-06-22,BHARTIARTL,EQ,363.95,367.0,360.85,363.05
2016-06-23,BHARTIARTL,EQ,364.7,365.75,362.0,364.8
2016-06-24,BHARTIARTL,EQ,357.0,360.0,348.7,355.85
2016-06-27,BHARTIARTL,EQ,354.0,357.95,349.75,351.15
2016-06-28,BHARTIARTL,EQ,352.35,358.5,351.8,357.1
2016-06-29,BHARTIARTL,EQ,358.5,360.3,354.25,356.2
2016-06-30,BHARTIARTL,EQ,358.0,370.0,355.45,366.8
2016-07-01,BHARTIARTL,EQ,365.8,372.85,362.65,368.35
2016-07-04,BHARTIARTL,EQ,370.55,375.9,368.9,373.35
2016-07-05,BHARTIARTL,EQ,374.0,374.0,363.6,365.9
2016-07-07,BHARTIARTL,EQ,365.0,371.3,362.65,363.35
2016-07-08,BHARTIARTL,EQ,360.75,362.25,353.0,355.05
2016-07-11,BHARTIARTL,EQ,365.9,365.9,358.05,359.85
2016-07-12,BHARTIARTL,EQ,362.4,364.5,360.0,363.3
2016-07-13,BHARTIARTL,EQ,365.9,365.95,359.1,363.7
2016-07-14,BHARTIARTL,EQ,363.6,367.7,361.85,366.95
2016-07-15,BHARTIARTL,EQ,365.4,379.95,365.4,378.9
2016-07-18,BHARTIARTL,EQ,379.7,380.0,361.05,362.65
2016-07-19,BHARTIARTL,EQ,359.05,368.2,357.6,364.3
2016-07-20,BHARTIARTL,EQ,364.2,366.95,361.35,363.4
2016-07-21,BHARTIARTL,EQ,365.9,369.7,362.5,367.85
2016-07-22,BHARTIARTL,EQ,368.0,369.8,364.1,367.35
2016-07-25,BHARTIARTL,EQ,364.0,372.8,363.1,371.95
2016-07-26,BHARTIARTL,EQ,370.0,372.95,366.85,369.85
2016-07-27,BHARTIARTL,EQ,370.7,377.25,368.4,372.55
2016-07-28,BHARTIARTL,EQ,381.8,381.8,363.6,371.9
2016-07-29,BHARTIARTL,EQ,371.9,371.9,360.45,362.05
2016-08-01,BHARTIARTL,EQ,363.45,367.0,362.1,364.0
2016-08-02,BHARTIARTL,EQ,361.9,364.8,355.65,357.8
2016-08-03,BHARTIARTL,EQ,359.15,360.4,353.25,358.85
2016-08-04,BHARTIARTL,EQ,359.8,368.75,353.05,366.25
2016-08-05,BHARTIARTL,EQ,367.2,371.5,359.55,364.0
2016-08-08,BHARTIARTL,EQ,363.0,364.9,349.3,351.55
2016-08-09,BHARTIARTL,EQ,352.9,355.05,344.75,349.45
2016-08-10,BHARTIARTL,EQ,351.0,353.4,345.0,346.45
2016-08-11,BHARTIARTL,EQ,346.25,346.75,342.0,346.35
2016-08-12,BHARTIARTL,EQ,344.25,349.0,344.1,347.8
2016-08-16,BHARTIARTL,EQ,348.5,351.35,339.7,342.45
2016-08-17,BHARTIARTL,EQ,343.5,349.5,343.5,345.65
2016-08-18,BHARTIARTL,EQ,348.4,353.9,346.85,353.15
2016-08-19,BHARTIARTL,EQ,354.0,355.0,347.3,351.4
2016-08-22,BHARTIARTL,EQ,351.0,353.0,346.1,350.2
2016-08-23,BHARTIARTL,EQ,348.0,355.4,344.7,353.75
2016-08-24,BHARTIARTL,EQ,354.0,358.35,350.0,352.6
2016-08-25,BHARTIARTL,EQ,351.25,354.0,344.1,346.0
2016-08-26,BHARTIARTL,EQ,347.5,348.1,341.55,343.95
2016-08-29,BHARTIARTL,EQ,343.5,347.75,335.25,342.6
2016-08-30,BHARTIARTL,EQ,342.75,344.1,328.75,331.85
2016-08-31,BHARTIARTL,EQ,332.25,336.9,328.85,331.65
